trial,sort,pattern_stimuli,choice_stimuli_1,choice_stimuli_2,correct_answer,rewarded_answer,prob_violation,condition,feedback_time_duration,mood_rating,leftright_counter,repetition,pair_old,pair,stim1,stim2,stim_left,stim_right,raw_choice_stimuli_1,raw_choice_stimuli_2,feedback,raw_correct_answer,raw_rewarded_answer,longdelay,,,
11,92,images/pattern_6.png,images/choice_trial_13.png,images/choice_trial_10.png,f,j,NaN,short3low,750,0,0,2,6,5,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,0,f,j,0,,,
12,1,images/pattern_1.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,long4high,7000,0,1,1,1,1,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
13,38,images/pattern_3.png,images/choice_trial_10.png,images/choice_trial_13.png,j,f,NaN,long1low,7000,0,1,2,3,2,13,10,10,13,images/choice_trial_13.png,images/choice_trial_10.png,0,f,j,1,,,
14,74,images/pattern_5.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,short2high,750,1,0,2,5,4,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
15,91,images/pattern_6.png,images/choice_trial_14.png,images/choice_trial_8.png,f,j,NaN,short3high,750,1,0,1,6,5,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,0,f,j,0,,,
16,56,images/pattern_4.png,images/choice_trial_10.png,images/choice_trial_13.png,j,j,NaN,long3high,7000,0,1,2,4,3,13,10,10,13,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,1,,,
17,110,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,short1high,750,0,0,2,7,6,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
18,2,images/pattern_1.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,long4high,7000,0,0,2,1,1,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,1,,,
19,93,images/pattern_6.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,short3high,750,0,1,3,6,5,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
20,57,images/pattern_4.png,images/choice_trial_15.png,images/choice_trial_9.png,f,f,NaN,long3high,7000,1,0,3,4,3,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
21,111,images/pattern_7.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,short1high,750,0,1,3,7,6,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
22,3,images/pattern_1.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,long4low,7000,0,1,3,1,1,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
23,39,images/pattern_3.png,images/choice_trial_9.png,images/choice_trial_15.png,j,f,NaN,long1high,7000,0,1,3,3,2,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,0,f,j,1,,,
24,75,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,short2high,750,0,1,3,5,4,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
25,112,images/pattern_7.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,short1high,750,1,1,4,7,6,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
26,4,images/pattern_1.png,images/choice_trial_11.png,images/choice_trial_2.png,f,f,NaN,long4high,7000,0,0,4,1,1,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
27,94,images/pattern_6.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,short3high,750,1,1,4,6,5,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
28,76,images/pattern_5.png,images/choice_trial_11.png,images/choice_trial_2.png,f,f,NaN,short2high,750,0,0,4,5,4,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
29,58,images/pattern_4.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,long3high,7000,0,1,4,4,3,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
30,40,images/pattern_3.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,long1high,7000,0,1,4,3,2,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
31,5,images/pattern_1.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,long4high,7000,1,0,5,1,1,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
32,95,images/pattern_6.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,short3high,750,0,0,5,6,5,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,0,,,
33,77,images/pattern_5.png,images/choice_trial_16.png,images/choice_trial_3.png,f,j,NaN,short2low,750,0,0,5,5,4,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,0,f,j,0,,,
34,41,images/pattern_3.png,images/choice_trial_3.png,images/choice_trial_16.png,j,j,NaN,long1high,7000,0,1,5,3,2,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
35,59,images/pattern_4.png,images/choice_trial_3.png,images/choice_trial_16.png,j,f,NaN,long3low,7000,0,1,5,4,3,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,0,f,j,1,,,
36,113,images/pattern_7.png,images/choice_trial_16.png,images/choice_trial_3.png,f,j,NaN,short1low,750,0,0,5,7,6,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,0,f,j,0,,,
37,6,images/pattern_1.png,images/choice_trial_6.png,images/choice_trial_12.png,f,j,NaN,long4high,7000,1,0,6,1,1,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,0,f,j,1,,,
38,42,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_12.png,f,f,NaN,long1low,7000,0,0,6,3,2,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,1,,,
39,114,images/pattern_7.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,short1high,750,0,1,6,7,6,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
40,78,images/pattern_5.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,short2high,750,1,1,6,5,4,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
41,60,images/pattern_4.png,images/choice_trial_6.png,images/choice_trial_12.png,f,f,NaN,long3high,7000,0,0,6,4,3,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,1,,,
42,96,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,short3low,750,0,1,6,6,5,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
43,7,images/pattern_1.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,long4high,7000,0,1,7,1,1,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
44,115,images/pattern_7.png,images/choice_trial_8.png,images/choice_trial_14.png,j,f,NaN,short1low,750,1,1,7,7,6,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,0,f,j,0,,,
45,79,images/pattern_5.png,images/choice_trial_14.png,images/choice_trial_8.png,f,f,NaN,short2high,750,0,0,7,5,4,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
46,61,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_14.png,j,f,NaN,long3low,7000,1,1,7,4,3,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,0,f,j,1,,,
47,43,images/pattern_3.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,long1high,7000,0,1,7,3,2,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
48,97,images/pattern_6.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,short3high,750,0,1,7,6,5,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
49,98,images/pattern_6.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,short3high,750,0,0,8,6,5,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
50,62,images/pattern_4.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,long3high,7000,0,0,8,4,3,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,1,,,
51,44,images/pattern_3.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,long1high,7000,0,0,8,3,2,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,1,,,
52,80,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_13.png,j,j,NaN,short2high,750,0,1,8,5,4,13,10,10,13,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
53,8,images/pattern_1.png,images/choice_trial_13.png,images/choice_trial_10.png,f,j,NaN,long4low,7000,0,0,8,1,1,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,0,f,j,1,,,
54,116,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,short1high,750,0,0,8,7,6,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
55,45,images/pattern_3.png,images/choice_trial_15.png,images/choice_trial_9.png,f,f,NaN,long1high,7000,1,0,9,3,2,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
56,81,images/pattern_5.png,images/choice_trial_15.png,images/choice_trial_9.png,f,j,NaN,short2high,750,0,0,9,5,4,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,0,f,j,0,,,
57,63,images/pattern_4.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,long3high,7000,0,1,9,4,3,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
58,117,images/pattern_7.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,short1high,750,0,1,9,7,6,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
59,99,images/pattern_6.png,images/choice_trial_15.png,images/choice_trial_9.png,f,f,NaN,short3low,750,1,0,9,6,5,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
60,9,images/pattern_1.png,images/choice_trial_15.png,images/choice_trial_9.png,f,f,NaN,long4high,7000,0,0,9,1,1,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
61,46,images/pattern_3.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,long1high,7000,0,1,10,3,2,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
62,82,images/pattern_5.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,short2low,750,1,1,10,5,4,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
63,118,images/pattern_7.png,images/choice_trial_11.png,images/choice_trial_2.png,f,f,NaN,short1high,750,0,0,10,7,6,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
64,10,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,long4high,7000,0,1,10,1,1,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
65,100,images/pattern_6.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,short3high,750,0,1,10,6,5,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
66,64,images/pattern_4.png,images/choice_trial_11.png,images/choice_trial_2.png,f,f,NaN,long3high,7000,0,0,10,4,3,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
67,47,images/pattern_3.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,long1high,7000,0,0,11,3,2,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
68,119,images/pattern_7.png,images/choice_trial_3.png,images/choice_trial_16.png,j,f,NaN,short1low,750,1,1,11,7,6,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,0,f,j,0,,,
69,65,images/pattern_4.png,images/choice_trial_3.png,images/choice_trial_16.png,j,j,NaN,long3high,7000,0,1,11,4,3,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
70,101,images/pattern_6.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,short3high,750,0,0,11,6,5,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,0,,,
71,11,images/pattern_1.png,images/choice_trial_3.png,images/choice_trial_16.png,j,j,NaN,long4low,7000,1,1,11,1,1,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
72,83,images/pattern_5.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,short2high,750,0,0,11,5,4,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,0,,,
73,48,images/pattern_3.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,long1high,7000,1,1,12,3,2,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,1,,,
74,120,images/pattern_7.png,images/choice_trial_6.png,images/choice_trial_12.png,f,f,NaN,short1high,750,0,0,12,7,6,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
75,12,images/pattern_1.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,long4high,7000,0,1,12,1,1,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,1,,,
76,102,images/pattern_6.png,images/choice_trial_6.png,images/choice_trial_12.png,f,f,NaN,short3high,750,0,0,12,6,5,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
77,66,images/pattern_4.png,images/choice_trial_6.png,images/choice_trial_12.png,f,j,NaN,long3low,7000,1,0,12,4,3,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,0,f,j,1,,,
78,84,images/pattern_5.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,short2low,750,0,1,12,5,4,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
79,121,images/pattern_7.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,short1high,750,0,1,13,7,6,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
80,103,images/pattern_6.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,short3high,750,0,1,13,6,5,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
81,67,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,long3high,7000,0,1,13,4,3,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
82,85,images/pattern_5.png,images/choice_trial_14.png,images/choice_trial_8.png,f,f,NaN,short2high,750,0,0,13,5,4,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
83,13,images/pattern_1.png,images/choice_trial_14.png,images/choice_trial_8.png,f,f,NaN,long4high,7000,0,0,13,1,1,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
84,49,images/pattern_3.png,images/choice_trial_14.png,images/choice_trial_8.png,f,f,NaN,long1high,7000,0,0,13,3,2,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
85,104,images/pattern_6.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,short3high,750,1,0,14,6,5,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
86,122,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,short1high,750,0,0,14,7,6,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,0,,,
87,14,images/pattern_1.png,images/choice_trial_10.png,images/choice_trial_13.png,j,f,NaN,long4high,7000,0,1,14,1,1,13,10,10,13,images/choice_trial_13.png,images/choice_trial_10.png,0,f,j,1,,,
88,68,images/pattern_4.png,images/choice_trial_13.png,images/choice_trial_10.png,f,f,NaN,long3high,7000,0,0,14,4,3,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,1,f,f,1,,,
89,86,images/pattern_5.png,images/choice_trial_13.png,images/choice_trial_10.png,f,j,NaN,short2low,750,0,0,14,5,4,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,0,f,j,0,,,
90,50,images/pattern_3.png,images/choice_trial_10.png,images/choice_trial_13.png,j,f,NaN,long1low,7000,1,1,14,3,2,13,10,10,13,images/choice_trial_13.png,images/choice_trial_10.png,0,f,j,1,,,
91,105,images/pattern_6.png,images/choice_trial_9.png,images/choice_trial_15.png,j,f,NaN,short3low,750,0,1,15,6,5,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,0,f,j,0,,,
92,69,images/pattern_4.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,long3high,7000,0,1,15,4,3,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
93,123,images/pattern_7.png,images/choice_trial_15.png,images/choice_trial_9.png,f,f,NaN,short1high,750,0,0,15,7,6,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
94,51,images/pattern_3.png,images/choice_trial_15.png,images/choice_trial_9.png,f,f,NaN,long1high,7000,0,0,15,3,2,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,1,,,
95,87,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_15.png,j,j,NaN,short2high,750,1,1,15,5,4,15,9,9,15,images/choice_trial_15.png,images/choice_trial_9.png,1,f,f,0,,,
96,15,images/pattern_1.png,images/choice_trial_15.png,images/choice_trial_9.png,f,j,NaN,long4low,7000,0,0,15,1,1,15,9,15,9,images/choice_trial_15.png,images/choice_trial_9.png,0,f,j,1,,,
97,70,images/pattern_4.png,images/choice_trial_11.png,images/choice_trial_2.png,f,f,NaN,long3high,7000,0,0,16,4,3,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
98,124,images/pattern_7.png,images/choice_trial_11.png,images/choice_trial_2.png,f,j,NaN,short1high,750,0,0,16,7,6,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,0,f,j,0,,,
99,88,images/pattern_5.png,images/choice_trial_2.png,images/choice_trial_11.png,j,j,NaN,short2high,750,0,1,16,5,4,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,0,,,
100,106,images/pattern_6.png,images/choice_trial_2.png,images/choice_trial_11.png,j,f,NaN,short3high,750,0,1,16,6,5,11,2,2,11,images/choice_trial_11.png,images/choice_trial_2.png,0,f,j,0,,,
101,52,images/pattern_3.png,images/choice_trial_11.png,images/choice_trial_2.png,f,j,NaN,long1low,7000,0,0,16,3,2,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,0,f,j,1,,,
102,16,images/pattern_1.png,images/choice_trial_11.png,images/choice_trial_2.png,f,f,NaN,long4high,7000,1,0,16,1,1,11,2,11,2,images/choice_trial_11.png,images/choice_trial_2.png,1,f,f,1,,,
103,125,images/pattern_7.png,images/choice_trial_3.png,images/choice_trial_16.png,j,j,NaN,short1high,750,0,1,17,7,6,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,0,,,
104,107,images/pattern_6.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,short3high,750,0,0,17,6,5,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,0,,,
105,71,images/pattern_4.png,images/choice_trial_3.png,images/choice_trial_16.png,j,j,NaN,long3high,7000,1,1,17,4,3,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
106,89,images/pattern_5.png,images/choice_trial_16.png,images/choice_trial_3.png,f,j,NaN,short2high,750,0,0,17,5,4,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,0,f,j,0,,,
107,17,images/pattern_1.png,images/choice_trial_3.png,images/choice_trial_16.png,j,j,NaN,long4high,7000,0,1,17,1,1,16,3,3,16,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
108,53,images/pattern_3.png,images/choice_trial_16.png,images/choice_trial_3.png,f,f,NaN,long1high,7000,1,0,17,3,2,16,3,16,3,images/choice_trial_16.png,images/choice_trial_3.png,1,f,f,1,,,
109,108,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,short3high,750,0,1,18,6,5,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
110,90,images/pattern_5.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,short2high,750,0,1,18,5,4,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
111,18,images/pattern_1.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,long4high,7000,0,1,18,1,1,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,1,,,
112,126,images/pattern_7.png,images/choice_trial_6.png,images/choice_trial_12.png,f,f,NaN,short1low,750,1,0,18,7,6,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,0,,,
113,72,images/pattern_4.png,images/choice_trial_6.png,images/choice_trial_12.png,f,j,NaN,long3low,7000,0,0,18,4,3,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,0,f,j,1,,,
114,54,images/pattern_3.png,images/choice_trial_12.png,images/choice_trial_6.png,j,j,NaN,long1high,7000,0,1,18,3,2,6,12,12,6,images/choice_trial_6.png,images/choice_trial_12.png,1,f,f,1,,,
