trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,prolificID,start_time,date
html-keyboard-response,67,192229,0.0-30.0-0.0,599.0,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_6.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_11.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_5.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/choice_trial_11.png,images/choice_trial_5.png,images/pattern_6.png,j,f,750.0,11.0,5.0,5.0,0.0,13.0,0.0,1.0,5.0,30.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,68,193241,0.0-30.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_6.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_5.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>",,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,chosen stimuli: images/choice_trial_5.png,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,69,194002,0.0-30.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,750.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,70,195525,0.0-30.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,71,196036,0.0-31.0-0.0,,,,,,mood_trial_fixation,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
lmdlab-html-vas-response,72,200644,0.0-31.0-1.0,3596.0,How happy are you right now?,0.2569765982462283,delaylearn,learning,mood_trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,"['Very unhappy', 'Very happy']",5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,73,202483,0.0-32.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,1829.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,74,204400,0.0-33.0-0.0,1914.0,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_10.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_3.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/choice_trial_10.png,images/choice_trial_3.png,images/pattern_1.png,j,j,7000.0,10.0,3.0,1.0,1.0,14.0,0.0,0.0,10.0,30.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,75,205408,0.0-33.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_10.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,chosen stimuli: images/choice_trial_10.png,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,76,212425,0.0-33.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,7000.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
